Subject,Trial,Condition,RT
1,1,sham,250.5
1,2,sham,134
1,3,sham,234
1,4,sham,167.25
1,5,sham,250.5
1,6,sham,167.25
1,7,sham,184
1,8,sham,184
1,9,sham,184
1,10,sham,200.5
1,11,sham,200.5
1,12,sham,500.5
1,13,sham,183.75
1,14,sham,184
1,15,sham,250.5
1,16,sham,217.25
1,17,sham,167.25
1,18,sham,233.75
1,19,sham,284
1,20,sham,200.5
1,1,tms,184
1,2,tms,167.25
1,3,tms,350.5
1,4,tms,167.25
1,5,tms,183.75
1,6,tms,184
1,7,tms,183.75
1,8,tms,234
1,9,tms,167.25
1,10,tms,183.75
1,11,tms,250.75
1,12,tms,167.25
1,13,tms,267.25
1,14,tms,184
1,15,tms,217.25
1,16,tms,200.5
1,17,tms,267
1,18,tms,200.5
1,19,tms,217.25
1,20,tms,167.25
1,1,ems,207.25
1,2,ems,190.75
1,3,ems,207.25
1,4,ems,207.25
1,5,ems,207.25
1,6,ems,207.25
1,7,ems,207.25
1,8,ems,207.25
1,9,ems,224
1,10,ems,223.75
1,11,ems,207.25
1,12,ems,207.25
1,13,ems,207.25
1,14,ems,207.25
1,15,ems,223.75
1,16,ems,207.25
1,17,ems,207.25
1,18,ems,190.5
1,19,ems,207.25
1,20,ems,207.25
2,1,sham,252.5
2,2,sham,217.5
2,3,sham,200.75
2,4,sham,234.25
2,5,sham,217.5
2,6,sham,202.5
2,7,sham,184.25
2,8,sham,234.25
2,9,sham,200.75
2,10,sham,217.5
2,11,sham,234.25
2,12,sham,234.25
2,13,sham,200.75
2,14,sham,217.5
2,15,sham,217.5
2,16,sham,201
2,17,sham,284.25
2,18,sham,217.5
2,19,sham,184.25
2,20,sham,200.75
2,1,tms,201
2,2,tms,217.5
2,3,tms,284.25
2,4,tms,186
2,5,tms,201
2,6,tms,217.5
2,7,tms,251
2,8,tms,234
2,9,tms,117.5
2,10,tms,200.75
2,11,tms,217.5
2,12,tms,284.25
2,13,tms,185.75
2,14,tms,184
2,15,tms,200.75
2,16,tms,252.5
2,17,tms,184.25
2,18,tms,167.5
2,19,tms,252.5
2,20,tms,217.5
2,1,ems,234
2,2,ems,202.5
2,3,ems,217.5
2,4,ems,200.75
2,5,ems,217.5
2,6,ems,185.75
2,7,ems,217.5
2,8,ems,184.25
2,9,ems,234.25
2,10,ems,217.5
2,11,ems,234
2,12,ems,234.25
2,13,ems,217.5
2,14,ems,217.5
2,15,ems,217.5
2,16,ems,234.25
2,17,ems,217.5
2,18,ems,217.75
2,19,ems,234.25
2,20,ems,234.25
3,1,sham,234.25
3,2,sham,217.75
3,3,sham,234.25
3,4,sham,184
3,5,sham,234.25
3,6,sham,217.5
3,7,sham,217.5
3,8,sham,167.5
3,9,sham,167.75
3,10,sham,250.75
3,11,sham,234.25
3,12,sham,201
3,13,sham,217.5
3,14,sham,184.25
3,15,sham,184
3,16,sham,234.25
3,17,sham,234.25
3,18,sham,184
3,19,sham,201
3,20,sham,217.5
3,1,tms,167.5
3,2,tms,184
3,3,tms,184.25
3,4,tms,251
3,5,tms,251
3,6,tms,184
3,7,tms,201
3,8,tms,234
3,9,tms,167.5
3,10,tms,217.5
3,11,tms,217.5
3,12,tms,184
3,13,tms,200.75
3,14,tms,201
3,15,tms,184.25
3,16,tms,167.5
3,17,tms,200.75
3,18,tms,200.75
3,19,tms,167.5
3,20,tms,217.5
3,1,ems,200.75
3,2,ems,201
3,3,ems,200.75
3,4,ems,201
3,5,ems,201
3,6,ems,200.75
3,7,ems,200.75
3,8,ems,217.5
3,9,ems,201
3,10,ems,201
3,11,ems,234.25
3,12,ems,200.75
3,13,ems,217.5
3,14,ems,217.5
3,15,ems,201
3,16,ems,201
3,17,ems,200.75
3,18,ems,200.75
3,19,ems,200.75
3,20,ems,200.75
4,1,sham,184
4,2,sham,167.5
4,3,sham,200.75
4,4,sham,169.25
4,5,sham,234.25
4,6,sham,201
4,7,sham,184.25
4,8,sham,217.5
4,9,sham,169.25
4,10,sham,184.25
4,11,sham,167.5
4,12,sham,167.25
4,13,sham,167.5
4,14,sham,186
4,15,sham,184
4,16,sham,184.25
4,17,sham,200.75
4,18,sham,167.5
4,19,sham,200.75
4,20,sham,169.25
4,1,tms,717.25
4,2,tms,184.25
4,3,tms,184.25
4,4,tms,167.5
4,5,tms,184.25
4,6,tms,200.75
4,7,tms,184
4,8,tms,200.75
4,9,tms,184
4,10,tms,150.75
4,11,tms,150.75
4,12,tms,217.25
4,13,tms,184
4,14,tms,167.5
4,15,tms,184.25
4,16,tms,217.5
4,17,tms,150.75
4,18,tms,167.5
4,19,tms,167.25
4,20,tms,167.5
4,1,ems,167.5
4,2,ems,184
4,3,ems,184
4,4,ems,167.5
4,5,ems,167.75
4,6,ems,184
4,7,ems,167.25
4,8,ems,167.5
4,9,ems,167.25
4,10,ems,184.25
4,11,ems,167.25
4,12,ems,167.5
4,13,ems,167.5
4,14,ems,167.5
4,15,ems,152.75
4,16,ems,167.5
4,17,ems,167.25
4,18,ems,184.25
4,19,ems,167.5
4,20,ems,200.75
5,1,sham,184.25
5,2,sham,184.25
5,3,sham,234.25
5,4,sham,284
5,5,sham,167.5
5,6,sham,167.5
5,7,sham,217.5
5,8,sham,234.25
5,9,sham,184
5,10,sham,167.5
5,11,sham,234.25
5,12,sham,217.5
5,13,sham,217.5
5,14,sham,167.5
5,15,sham,184.25
5,16,sham,234.25
5,17,sham,167.5
5,18,sham,184.25
5,19,sham,167.75
5,20,sham,167.5
5,1,tms,184.25
5,2,tms,250.75
5,3,tms,167.5
5,4,tms,167.75
5,5,tms,169.5
5,6,tms,167.75
5,7,tms,251
5,8,tms,184.25
5,9,tms,184.25
5,10,tms,167.5
5,11,tms,167.5
5,12,tms,167.5
5,13,tms,167.5
5,14,tms,201
5,15,tms,151
5,16,tms,184.25
5,17,tms,201
5,18,tms,184
5,19,tms,267.5
5,20,tms,184.25
5,1,ems,184.25
5,2,ems,167.5
5,3,ems,184.25
5,4,ems,184
5,5,ems,184.25
5,6,ems,200.75
5,7,ems,184.25
5,8,ems,184.25
5,9,ems,184
5,10,ems,167.5
5,11,ems,184.5
5,12,ems,184.25
5,13,ems,200.75
5,14,ems,184.25
5,15,ems,200.75
5,16,ems,184.25
5,17,ems,201
5,18,ems,200.75
5,19,ems,184.25
5,20,ems,184.25
6,1,sham,167.25
6,2,sham,184
6,3,sham,167.5
6,4,sham,184
6,5,sham,200.75
6,6,sham,184.25
6,7,sham,184.25
6,8,sham,200.75
6,9,sham,567.25
6,10,sham,186
6,11,sham,200.75
6,12,sham,200.75
6,13,sham,200.75
6,14,sham,500.5
6,15,sham,184
6,16,sham,152.5
6,17,sham,200.5
6,18,sham,186
6,19,sham,184
6,20,sham,202.5
6,1,tms,184
6,2,tms,167.5
6,3,tms,167.25
6,4,tms,150.75
6,5,tms,167.25
6,6,tms,34
6,7,tms,200.75
6,8,tms,167.5
6,9,tms,150.75
6,10,tms,167.25
6,11,tms,200.75
6,12,tms,200.75
6,13,tms,67.5
6,14,tms,184
6,15,tms,200.75
6,16,tms,200.75
6,17,tms,184
6,18,tms,200.75
6,19,tms,201
6,20,tms,217.5
6,1,ems,167.25
6,2,ems,167.5
6,3,ems,184
6,4,ems,184
6,5,ems,167.5
6,6,ems,169.25
6,7,ems,184
6,8,ems,167.5
6,9,ems,184
6,10,ems,184.25
6,11,ems,200.75
6,12,ems,167.5
6,13,ems,184
6,14,ems,184.25
6,15,ems,184
6,16,ems,184
6,17,ems,567.25
6,18,ems,184.25
6,19,ems,167.5
6,20,ems,184.25
7,1,sham,219.25
7,2,sham,217.5
7,3,sham,217.5
7,4,sham,217.5
7,5,sham,234
7,6,sham,267.5
7,7,sham,201
7,8,sham,200.75
7,9,sham,234
7,10,sham,201
7,11,sham,217.5
7,12,sham,200.75
7,13,sham,217.5
7,14,sham,217.5
7,15,sham,186
7,16,sham,267.5
7,17,sham,200.75
7,18,sham,184.25
7,19,sham,200.75
7,20,sham,217.5
7,1,tms,234
7,2,tms,217.5
7,3,tms,217.5
7,4,tms,200.75
7,5,tms,203
7,6,tms,234
7,7,tms,250.75
7,8,tms,234
7,9,tms,200.75
7,10,tms,200.75
7,11,tms,217.5
7,12,tms,200.75
7,13,tms,267.5
7,14,tms,234.25
7,15,tms,234
7,16,tms,201
7,17,tms,202.5
7,18,tms,200.75
7,19,tms,200.75
7,20,tms,200.75
7,1,ems,201.25
7,2,ems,201.25
7,3,ems,218
7,4,ems,217.75
7,5,ems,218
7,6,ems,217.75
7,7,ems,217.75
7,8,ems,218
7,9,ems,217.75
7,10,ems,203
7,11,ems,203
7,12,ems,203
7,13,ems,201.25
7,14,ems,218
7,15,ems,217.75
7,16,ems,218
7,17,ems,217.75
7,18,ems,201.25
7,19,ems,201
7,20,ems,217.75
8,1,sham,284.25
8,2,sham,167.25
8,3,sham,217.5
8,4,sham,184.25
8,5,sham,201
8,6,sham,217.5
8,7,sham,200.75
8,8,sham,200.75
8,9,sham,217.5
8,10,sham,184
8,11,sham,267.5
8,12,sham,184.25
8,13,sham,167.5
8,14,sham,200.75
8,15,sham,217.5
8,16,sham,184.25
8,17,sham,267.25
8,18,sham,200.75
8,19,sham,334.5
8,20,sham,184.25
8,1,tms,167.5
8,2,tms,234
8,3,tms,217.25
8,4,tms,151
8,5,tms,184
8,6,tms,184.25
8,7,tms,184.25
8,8,tms,167.5
8,9,tms,184.25
8,10,tms,234.25
8,11,tms,234.25
8,12,tms,184.25
8,13,tms,267.5
8,14,tms,201
8,15,tms,201
8,16,tms,250.75
8,17,tms,317.25
8,18,tms,184
8,19,tms,200.75
8,20,tms,200.75
8,1,ems,151
8,2,ems,201
8,3,ems,217.5
8,4,ems,217.5
8,5,ems,200.75
8,6,ems,217.5
8,7,ems,200.75
8,8,ems,217.5
8,9,ems,200.75
8,10,ems,184.25
8,11,ems,217.5
8,12,ems,200.75
8,13,ems,217.5
8,14,ems,217.25
8,15,ems,217.5
8,16,ems,201
8,17,ems,184.25
8,18,ems,217.5
8,19,ems,200.75
8,20,ems,200.75
9,1,sham,217.25
9,2,sham,217.5
9,3,sham,200.75
9,4,sham,200.75
9,5,sham,217.5
9,6,sham,217.5
9,7,sham,217.5
9,8,sham,217.5
9,9,sham,217.5
9,10,sham,217.5
9,11,sham,217.5
9,12,sham,217.5
9,13,sham,217.5
9,14,sham,202.5
9,15,sham,201
9,16,sham,200.75
9,17,sham,217.25
9,18,sham,202.5
9,19,sham,184
9,20,sham,217.5
9,1,tms,234
9,2,tms,200.75
9,3,tms,200.75
9,4,tms,184.25
9,5,tms,217.5
9,6,tms,184.25
9,7,tms,201
9,8,tms,200.75
9,9,tms,200.75
9,10,tms,200.75
9,11,tms,200.75
9,12,tms,184
9,13,tms,184.25
9,14,tms,167.5
9,15,tms,184
9,16,tms,201
9,17,tms,217.25
9,18,tms,200.75
9,19,tms,200.75
9,20,tms,200.75
9,1,ems,250.75
9,2,ems,200.75
9,3,ems,200.75
9,4,ems,184.25
9,5,ems,200.75
9,6,ems,184
9,7,ems,200.75
9,8,ems,184.25
9,9,ems,184
9,10,ems,184.25
9,11,ems,200.75
9,12,ems,251
9,13,ems,200.75
9,14,ems,184
9,15,ems,217.5
9,16,ems,217.75
9,17,ems,217.5
9,18,ems,200.75
9,19,ems,217.75
9,20,ems,202.5
10,1,sham,184.25
10,2,sham,217.5
10,3,sham,200.75
10,4,sham,200.75
10,5,sham,184.25
10,6,sham,201
10,7,sham,184
10,8,sham,184.25
10,9,sham,167.5
10,10,sham,200.75
10,11,sham,184.5
10,12,sham,167.5
10,13,sham,184
10,14,sham,184.25
10,15,sham,200.75
10,16,sham,167.25
10,17,sham,184
10,18,sham,184
10,19,sham,184.25
10,20,sham,151
10,1,tms,200.75
10,2,tms,184
10,3,tms,184
10,4,tms,184
10,5,tms,186
10,6,tms,184.25
10,7,tms,200.75
10,8,tms,184
10,9,tms,184
10,10,tms,184
10,11,tms,184
10,12,tms,167.25
10,13,tms,184.25
10,14,tms,200.75
10,15,tms,184.25
10,16,tms,169.25
10,17,tms,184.25
10,18,tms,184.25
10,19,tms,184
10,20,tms,201
10,1,ems,185.75
10,2,ems,169
10,3,ems,169
10,4,ems,202.5
10,5,ems,169.25
10,6,ems,169.25
10,7,ems,185.75
10,8,ems,185.75
10,9,ems,169.25
10,10,ems,185.75
10,11,ems,169.25
10,12,ems,185.75
10,13,ems,169
10,14,ems,185.75
10,15,ems,185.75
10,16,ems,169.25
10,17,ems,185.75
10,18,ems,185.75
10,19,ems,169
10,20,ems,193.25
11,1,sham,250.75
11,2,sham,217.5
11,3,sham,217.5
11,4,sham,234.25
11,5,sham,217.5
11,6,sham,217.5
11,7,sham,234
11,8,sham,234.25
11,9,sham,217.75
11,10,sham,217.25
11,11,sham,269.5
11,12,sham,234
11,13,sham,234
11,14,sham,217.75
11,15,sham,217.5
11,16,sham,234.25
11,17,sham,217.25
11,18,sham,267.5
11,19,sham,217.25
11,20,sham,300.75
11,1,tms,234
11,2,tms,234.25
11,3,tms,284.25
11,4,tms,184.25
11,5,tms,234
11,6,tms,200.75
11,7,tms,184.25
11,8,tms,250.75
11,9,tms,200.75
11,10,tms,234.25
11,11,tms,217.5
11,12,tms,250.75
11,13,tms,317.5
11,14,tms,217.5
11,15,tms,234.25
11,16,tms,200.75
11,17,tms,217.75
11,18,tms,234
11,19,tms,217.5
11,20,tms,236
11,1,ems,282.5
11,2,ems,215.75
11,3,ems,232.25
11,4,ems,215.75
11,5,ems,232.5
11,6,ems,215.75
11,7,ems,299
11,8,ems,232.5
11,9,ems,216
11,10,ems,215.75
11,11,ems,232.5
11,12,ems,232.25
11,13,ems,215.75
11,14,ems,215.75
11,15,ems,215.75
11,16,ems,216
11,17,ems,215.75
11,18,ems,232.5
11,19,ems,215.75
11,20,ems,215.75
12,1,sham,200.75
12,2,sham,152.75
12,3,sham,217.5
12,4,sham,167.5
12,5,sham,200.75
12,6,sham,184
12,7,sham,201
12,8,sham,184.25
12,9,sham,200.75
12,10,sham,217.5
12,11,sham,219.5
12,12,sham,200.75
12,13,sham,184.25
12,14,sham,184.25
12,15,sham,200.75
12,16,sham,184.25
12,17,sham,184.25
12,18,sham,184.25
12,19,sham,200.75
12,20,sham,217.5
12,1,tms,184.25
12,2,tms,234.25
12,3,tms,201
12,4,tms,201
12,5,tms,184.25
12,6,tms,201
12,7,tms,167.5
12,8,tms,200.75
12,9,tms,200.75
12,10,tms,184.25
12,11,tms,201
12,12,tms,167.5
12,13,tms,217.5
12,14,tms,167.5
12,15,tms,184.25
12,16,tms,184
12,17,tms,150.75
12,18,tms,184
12,19,tms,200.75
12,20,tms,184
12,1,ems,188.75
12,2,ems,188.75
12,3,ems,222.25
12,4,ems,222
12,5,ems,189
12,6,ems,189
12,7,ems,188.75
12,8,ems,188.75
12,9,ems,189.25
12,10,ems,188.75
12,11,ems,190.5
12,12,ems,205.5
12,13,ems,205.5
12,14,ems,188.75
12,15,ems,205.5
12,16,ems,189
12,17,ems,205.5
12,18,ems,189
12,19,ems,189
12,20,ems,189